[2021-12-16 17:13:33.242] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:13:43.244] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:13:53.247] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:14:03.249] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:14:13.251] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:14:23.253] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:14:33.255] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:14:43.257] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:14:53.259] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:15:03.261] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:15:13.263] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:15:23.265] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:15:33.268] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:15:43.270] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:15:53.271] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:16:03.274] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:16:13.275] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:16:23.277] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:16:33.279] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:16:43.281] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:16:53.283] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:17:03.285] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:17:13.287] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:17:23.288] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:17:33.290] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:17:43.291] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:17:53.293] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:18:03.295] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:18:13.297] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:18:23.299] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:18:33.301] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:18:43.303] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:18:53.305] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:19:03.308] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:19:13.310] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:19:23.311] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:19:33.313] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:19:43.315] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:19:53.317] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:20:03.319] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:20:13.321] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:20:23.323] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:20:33.325] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:20:43.328] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:20:53.330] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:21:03.332] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:21:13.334] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:21:23.336] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:21:33.338] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:21:43.340] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:21:53.342] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:22:03.344] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:22:13.346] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:22:23.349] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:22:33.351] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:22:43.353] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:22:53.354] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:23:03.356] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:23:13.357] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:23:23.358] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:23:33.360] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:23:43.362] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:23:53.365] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:24:03.367] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:24:13.368] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:24:23.370] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:24:33.372] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:24:43.373] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:24:53.375] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:25:03.377] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:25:13.378] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:25:23.380] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:25:33.382] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:25:43.383] [error] mpd: Failed to connect to MPD: Connection refused
